
how long have it be since you review the objective of you benefit and service program,how bn:00106124a have it bn:00083181v since you bn:00092618v the bn:00002179n of you bn:00009904n and bn:00070654n bn:00064646n
when negotiate with you union do you make sure employee have a choice between new benefit and they cent per hour cost in wage,when bn:00091037v with you bn:00013379n do you bn:00088736v bn:00099480a bn:00030618n bn:00089240v a bn:00018661n between bn:00107267a bn:00009904n and they bn:00017099n per bn:00000127n bn:00022995n in bn:00029416n
can you consider restrict any additional employee benefit to those pay for by profit_sharing money such as be do in the union contract recently sign by group,can you bn:00085651v bn:00086154v any additional bn:00030618n bn:00009904n to those bn:00091493v for by bn:00064634n bn:00055644n such as be bn:00087106v in the bn:00013379n bn:00022227n bn:00116085r bn:00092379v by bn:00041942n
do you employee understand all the benefit to which you insurance entitle they,do you bn:00030618n bn:00095375v all the bn:00009904n to which you bn:00046997n bn:00087690v they
be they encourage to take_advantage full legal advantage of these benefit,be they bn:00082397v to bn:00084494v bn:00102277a bn:00105848a advantage of these bn:00009904n
have you publicize the cent per hour value of the company 's share of insurance_premium,have you bn:00082413v the bn:00017099n per bn:00000127n bn:00079508n of the bn:00021286n 's bn:00060768n of bn:00047000n
when do you last compare you present premium cost with the cost of insurance from other source,when do you bn:00116081r bn:00085450v you bn:00108977a bn:00047000n bn:00022996n with the bn:00022996n of bn:00046996n from bn:00108011a bn:00072943n
can you insurance_company aid you in reduce administrative cost,can you bn:00046999n bn:00082481v you in bn:00084079v bn:00096474a bn:00022995n
do you try to maintain the principle of employee contribute as oppose to fully company paid program,do you bn:00082844v to bn:00085644v the bn:00064427n of bn:00030618n bn:00084904v as bn:00085875v to bn:00115476r bn:00021286n bn:00108165a bn:00062759n
do you protect you holiday privilege with a attendance requirement both before and after the holiday,do you bn:00092103v you bn:00044416n bn:00064489n with a bn:00007013n bn:00026105n both before and after the bn:00044415n
do you plan to limit additional holiday to area and or industrial pattern,do you bn:00083196v to bn:00084998v additional bn:00044415n to bn:00005513n and or industrial bn:00061054n
have you investigate the possibility of move midweek holiday forward to monday or back to friday in order to have a uninterrupted work week,have you bn:00089885v the bn:00059099n of bn:00087012v midweek bn:00044416n bn:00114183r to bn:00055609n or bn:00114475r to bn:00036512n in order to bn:00089240v a bn:00112889a bn:00081568n bn:00080813n
be you carefully police washup time and rest period to be certain that all other time be productive,be you bn:00114671r bn:00091483v bn:00009011n bn:00019848n and bn:00029457n bn:00061605n to bn:00083181v bn:00099475a that bn:00096798a bn:00108011a bn:00019848n bn:00083181v bn:00109059a
be you watch work schedule for boiler operator guard and other 24 hour day 7 day week operation in order to minimize overtime,be you bn:00088428v bn:00081568n bn:00001967n for bn:00011828n bn:00053226n bn:00042043n and bn:00108011a bn:00095962a bn:00000127n bn:00000086n bn:00096060a bn:00000086n bn:00043484n bn:00059125n in order to bn:00090804v bn:00059918n
be you careful to restrict the number of people on leave at_one_time so that you total employment obligation be minimized,be you bn:00099268a to bn:00086154v the bn:00034394n of bn:00061450n on leave bn:00114402r bn:00117044r that you bn:00102277a bn:00030626n bn:00058468n bn:00083181v bn:00106758a
have you consider use vending equipment to replace or reduce the number of cafeteria employee,have you bn:00085649v bn:00082705v bn:00043196n bn:00031322n to bn:00092816v or bn:00084079v the bn:00034394n of bn:00014561n bn:00030618n
what be the possibility for operate you cafeteria for a single shift only and rely upon vending_machine or prepackaged sandwich for the second and third shift operation,what bn:00083182v the bn:00063738n for bn:00091177v you bn:00014561n for a bn:00104971a bn:00029242n bn:00114234r and rely upon bn:00079724n or bn:00108963a bn:00069164n for the second and third bn:00029242n bn:00059126n
have you check the cost of subcontract you cafeteria operation in order to save administrative cost,have you bn:00084848v the bn:00022995n of bn:00088043v you bn:00014561n bn:00059126n in order to bn:00091983v bn:00096474a bn:00022995n
be there possibility of have cafeteria help work part-time on custodial or other job,be there bn:00063738n of have bn:00014561n bn:00006523n bn:00087128v bn:00108287a on bn:00100810a or bn:00108011a bn:00018756n
can stagger lunch period relieve the capacity strain on you feeding facility,can bn:00087069v bn:00026000n bn:00061605n bn:00082530v the bn:00015419n bn:00074518n on you bn:00002749n bn:00032645n
would it be feasible to limit the menu in order to reduce feeding cost,would it be bn:00102521a to bn:00084998v the bn:00010407n in order to bn:00084079v bn:00002749n bn:00022995n
have you consider gradual withdrawal of subsidy to you in plant feeding operation,have you bn:00085649v bn:00103716a bn:00081433n of bn:00074977n to you in bn:00046568n bn:00029546n bn:00059126n
be you utilize cafeteria space for company meeting or discussion,be you bn:00082705v bn:00014561n bn:00073039n for bn:00021286n bn:00041948n or bn:00027523n
be you expense in this area commensurate with the number of employee who benefit from you program,be you bn:00027451n in this bn:00005516n bn:00100080a with the bn:00034394n of bn:00030618n who bn:00083413v from you bn:00064646n
have you audit you program recently to weed_out those phase that draw least participation,have you bn:00082924v you bn:00064646n bn:00116085r to bn:00085312v those bn:00061898n that draw bn:00105825a bn:00030844n
do employee contribute they share of money to recreational_facility,do bn:00030618n bn:00084904v they bn:00060768n of bn:00055644n to bn:00066601n
have you consider delegate operational responsibility to you employee association and carefully restrict you plant 's financial contribution,have you bn:00085649v bn:00086517v bn:00107912a bn:00029239n to you bn:00030618n bn:00006539n and bn:00114671r bn:00083834v you bn:00046568n 's bn:00102971a bn:00022272n
could a employee 's garden club take_over partial care of plant grounds,could a bn:00030618n 's bn:00037301n bn:00020039n bn:00082381v bn:00108290a bn:00016016n of bn:00046568n bn:00024541n
would a camera club be useful in take picture pertinent to plant safety,would a bn:00015008n bn:00020039n bn:00083181v bn:00113455a in bn:00088192v bn:00045772n bn:00108496a to bn:00046568n bn:00068799n
be you spending too much money on team uniform that benefit only a_few employee,be you bn:00027452n bn:00115274r bn:00106995a bn:00055644n on bn:00073699n bn:00079079n that bn:00083414v bn:00114626r bn:00096109a bn:00030618n
be you underwrite expensive team trip,be you bn:00094560v bn:00102576a bn:00073699n bn:00078318n
be you utilize vending_machine proceeds to help pay for you program,be you bn:00082705v bn:00079724n bn:00047691n to bn:00082481v bn:00091493v for you bn:00064646n
do you know the trend in you cost of maintain access_road and parking_lot,do you bn:00085261v the bn:00023286n in you bn:00022995n of bn:00085644v bn:00000667n and bn:00015795n
if you use parking attendant can they be replace by automatic parking gate,if you bn:00082705v bn:00060698n bn:00007017n can they be bn:00092816v by bn:00097824a bn:00060698n bn:00037486n
will you local bus_company erect and or maintain the bus_stop at you plant,will you bn:00106108a bn:00014084n bn:00087714v and or bn:00085644v the bn:00014091n at you bn:00046568n
if you provide inter plant transportation can this be replace by available public transportation,if you bn:00088643v inter bn:00046568n bn:00078004n can this be bn:00092816v by bn:00097846a bn:00109212a bn:00078004n
if you use company transportation to meet train or to haul visitor would taxi be cheap,if you bn:00082705v bn:00021286n bn:00078004n to meet bn:00066028n or to bn:00089238v bn:00080115n would bn:00014407n bn:00083181v bn:00099557a
how efficient and necessary be you intra company vehicle,how bn:00102049a and bn:00107182a bn:00083181v you intra bn:00021286n bn:00079675n
can they be reschedule,can they be bn:00092866v
can part-time driver be assign to other productive work,can bn:00108287a bn:00028795n be bn:00082857v to bn:00108011a bn:00109059a bn:00081568n
which be more economical for you plant a vacation shutdown or spaced vacation that require extra employee for vacation fill-in,which bn:00083181v bn:00116284r bn:00102003a for you bn:00046568n a bn:00044415n bn:00019944n or bn:00110425a bn:00044415n that bn:00082822v bn:00102499a bn:00030618n for bn:00044415n bn:00007837n
can vacation be space throughout the 12 month to minimize the number of employee fill-in,can bn:00044415n be bn:00094068v throughout the bn:00095905a bn:00014710n to bn:00090804v the bn:00034394n of bn:00030618n bn:00007837n
do you insist that unneeded salary employee take they vacation during plant shutdown,do you bn:00089773v that bn:00112990a bn:00029416n bn:00030618n bn:00091131v they bn:00044415n during bn:00046568n bn:00019944n
what can you sale and purchasing_department do to curtail order shipment and receipt during vacation shutdown period,what can you bn:00068916n and bn:00065271n bn:00087106v to bn:00086154v bn:00059308n bn:00026581n and bn:00066489n during bn:00044415n bn:00019944n bn:00061605n
be a arbitrary retirement age of 65 actually cost you plant money,be a bn:00097433a bn:00067456n bn:00001936n of 65 bn:00114117r bn:00085851v you bn:00046568n bn:00055644n
what sort of effort do you make to assure that old or disabled worker be fully productive,what bn:00035907n of bn:00007011n do you bn:00087106v to bn:00082812v that bn:00107786a or bn:00101440a bn:00081593n bn:00083181v bn:00115474r bn:00109059a
would early retirement of nonproductive disabled employee reduce the number of make-work job,would bn:00101935a bn:00067456n of bn:00107504a bn:00101440a bn:00030618n bn:00084079v the bn:00034394n of bn:00014199n bn:00014138n
will you union accept seniority concession in assign work for old or disabled employee,will you bn:00013379n bn:00082199v bn:00044110n bn:00021570n in bn:00082857v bn:00081568n for bn:00107786a or bn:00101440a bn:00030618n
can you share medical facility and staff with neighbor plant,can you bn:00093574v bn:00106554a bn:00032645n and bn:00073801n with neighbor bn:00046568n
if you have a full-time doctor now can he be replace with a part-time doctor or one who serve on a fee per case basis only,if you bn:00089240v a bn:00103412a bn:00027976n bn:00116381r can he be bn:00092816v with a bn:00108287a bn:00027976n or one who bn:00093509v on a bn:00033939n per bn:00016406n bn:00008870n bn:00114234r
can you plant nurse be replace by a trained first_aid man who work full-time on some_other assignment,can you bn:00046568n bn:00058325n be bn:00092816v by a trained bn:00034749n bn:00053097n who bn:00087128v bn:00115475r on bn:00097165a bn:00006513n
do you rigidly distinguish between job and non job connected health_problem and avoid treat the latter,do you bn:00114594r bn:00086799v between bn:00014138n and non bn:00014138n bn:00096599a bn:00043369n and bn:00082959v bn:00084532v the latter
be you indiscriminately offer unnecessary medical services flu shot sun lamp treatment etc,be you bn:00114328r bn:00091135v bn:00112990a bn:00106554a bn:00070677n bn:00035412n bn:00046787n bn:00075171n bn:00049804n bn:00047235n etc
if you have a annual or regular physical examination program be it worth what it be cost you,if you bn:00089240v a annual or bn:00109635a bn:00108566a bn:00032093n bn:00064646n bn:00083181v it bn:00113945a what it be bn:00085851v you
consider what you can afford to spend and what you goal be before set_up or revamp you employee benefit program,bn:00085650v what you can bn:00082441v to bn:00087372v and what you bn:00030721n bn:00083182v before bn:00087732v or bn:00092979v you bn:00030618n bn:00009904n bn:00064646n
too many plant official be all_too eager to buy a package program from a insurance_company simply because it work for another plant,bn:00115274r bn:00106408a bn:00046568n bn:00036837n bn:00083181v bn:00114223r bn:00101930a to bn:00084331v a bn:00060109n bn:00062759n from a bn:00046999n bn:00114626r because it bn:00082291v for another bn:00046568n
but even if that other plant employ the same number of worker and make the same product there be other fact to consider,but bn:00115244r if that bn:00108011a bn:00046568n bn:00087576v the bn:00105978a bn:00058285n of bn:00081593n and bn:00086013v the bn:00110075a bn:00064584n there bn:00083184v bn:00108011a bn:00032654n to bn:00085650v
how old be you working force,how old bn:00083181v you bn:00107839a bn:00035770n
what be you profit_margin,what be you bn:00041871n
in what section of the country be you located,in what bn:00070192n of the bn:00023235n bn:00083183v you bn:00106113a
be you in a rural or urban_area,bn:00083183v you in a bn:00109997a or bn:00063594n
these factor can make the difference between waste and efficiency in any benefit program,these bn:00032661n can bn:00086008v the bn:00027022n between bn:00027728n and bn:00029890n in any bn:00009904n bn:00062759n
above_all do not set up extravagant fringe_benefit just to buy employee good_will,bn:00114082r do not set up bn:00102655a bn:00036574n bn:00114626r to bn:00084040v bn:00030618n bn:00041083n
union stress fringe_benefit but the individual hourly worker prefer cash every time,bn:00013379n bn:00082195v bn:00036574n but the bn:00099313a hourly bn:00081593n bn:00091949v bn:00016448n every bn:00019848n
aim to balance you employee benefit package,bn:00082486v to bn:00083046v you bn:00030618n bn:00009904n bn:00013882n
some plant go overboard on one type of fringe say a liberal retirement plan and find themselves vulnerable elsewhere,some bn:00046568n bn:00088913v bn:00116506r on one bn:00078798n of bn:00036568n bn:00093288v a bn:00098351a bn:00067456n bn:00062759n and bn:00088209v themselves bn:00113677a bn:00115192r
they be ask_for union trouble,they be bn:00082824v bn:00013379n bn:00012327n
if you want credit for you employee services program let you worker know what they be entitle to,if you bn:00091028v bn:00023667n for you bn:00030618n bn:00070677n bn:00062759n bn:00090294v you bn:00081593n bn:00085261v what they be bn:00087690v to
encourage they to exercise they benefit,bn:00087600v they to bn:00087829v they bn:00009905n
this can be do by story in you house_organ poster special publication letter to worker home as well as by_word_of_mouth through you chain of command,this can be bn:00087106v by bn:00056857n in you bn:00045019n bn:00010395n bn:00110995a bn:00065106n bn:00050802n to bn:00081593n bn:00000356n as well as bn:00114652r through you bn:00017487n of bn:00020941n
some company find a little imagination helpful,some bn:00021286n bn:00088095v a bn:00106059a bn:00045979n bn:00104094a
group kansas_city missouri have a do-it-yourself quiz game call `` benefit bafflers `` which it distribute to employee,bn:00041942n bn:00048779n bn:00055334n bn:00088078v a bn:00101651a bn:00065750n bn:00037180n call `` benefit bafflers `` which it bn:00082364v to bn:00030618n
group columbus give all its worker a facsimile checkbook each check show the amount the company spend on a particular fringe,bn:00041942n bn:00015596n bn:00088815v all its bn:00081593n a bn:00007405n bn:00017998n each bn:00008378n bn:00086557v the bn:00003601n the bn:00021286n bn:00087372v on a bn:00108296a bn:00036568n
group new_york pass out a form itemize the value of benefit,bn:00041942n bn:00041611n bn:00088825v out a bn:00035910n bn:00087699v the bn:00029680n of bn:00009904n
the blue-collar worker thus know he insurance package for_example cost 227.72,the bn:00098616a bn:00081593n bn:00115635r bn:00085261v he bn:00046996n bn:00013882n bn:00115147r bn:00083193v 227.72
have the insurance_company or you own accounting department break_down the cost of you insurance package periodically,bn:00088733v the bn:00046999n or you bn:00096707a bn:00000752n bn:00026308n bn:00082598v the bn:00022995n of you bn:00046996n bn:00013882n bn:00116565r
you may find certain coverage cost much more than be economically feasible thereby alert you to desirable revision,you may bn:00086708v bn:00099474a bn:00023360n bn:00083193v bn:00116295r more than bn:00083181v bn:00115168r bn:00102521a bn:00117263r bn:00082507v you to bn:00101236a bn:00067275n
check to see if some of you benefit such as on_the_job disability pay can be put on a direct payment rather than a insured basis at a saving to you,bn:00082812v to bn:00082813v if some of you bn:00009904n such as bn:00107839a bn:00027407n bn:00029416n can be bn:00090224v on a bn:00101412a bn:00025954n bn:00115972r than a bn:00105225a bn:00008870n at a bn:00029685n to you
use deductible insurance wherever feasible,bn:00082705v bn:00101040a bn:00046996n wherever bn:00102521a
it can put a end to marginal claim which play havoc with you insurance rate,it can bn:00092204v a bn:00025588n to bn:00098703a bn:00019405n which bn:00091718v bn:00043172n with you bn:00046996n bn:00017803n
also beware of open-ended policy especially in the medical field,bn:00114246r bn:00083463v of bn:00107896a bn:00046997n bn:00115235r in the bn:00106554a bn:00007985n
this will mean that every time there be a increase in hospital rate you cost will go_up in like manner,this will bn:00087672v that every bn:00019848n there be a bn:00046355n in bn:00044896n bn:00017803n you bn:00022995n will bn:00085125v in like bn:00033729n
put a dollar and cent limit on benefit,bn:00090224v a bn:00028114n and bn:00017099n bn:00012419n on bn:00009904n
do not go overboard on insurance that pay benefit only upon death,do not bn:00088913v bn:00116506r on bn:00046997n that bn:00091493v bn:00009904n bn:00114234r upon bn:00025582n
generally you employee will greatly appreciate benefit that protect he during he working life or during retirement,bn:00114634r you bn:00030618n will bn:00115553r bn:00082722v bn:00009904n that bn:00092103v he during he bn:00107839a bn:00051047n or during bn:00067456n
in grant bereavement leave specify the maximum time_off and list what the worker 's relation to the deceased must be to qualify,in bn:00082538v bn:00010002n bn:00050462n bn:00086468v the bn:00106517a bn:00077295n and bn:00090397v what the bn:00081593n 's bn:00066995n to the bn:00025523n must bn:00083182v to bn:00090717v
thus you avoid headache when a employee want off for he fourth cousin 's funeral,bn:00117048r you bn:00082954v bn:00021558n when a bn:00030618n bn:00086682v off for he bn:00096026a bn:00023333n 's bn:00036855n
also reserve the right to demand proof of death despite the fact that you 'll probably never use it,bn:00114246r reserve the bn:00067807n to bn:00086547v bn:00020446n of bn:00025584n despite the bn:00032654n that you 'll bn:00114523r bn:00116326r bn:00082705v it
coffee_break can be a real headache if not regulated,bn:00020419n can bn:00083181v a bn:00109495a bn:00021558n if bn:00116360r bn:00109643a
vending_machine can alleviate the long hike to the cafeteria during the break with result waste of production time,bn:00079724n can bn:00082530v the bn:00106125a bn:00044137n to the bn:00014561n during the bn:00012899n with result bn:00027728n of bn:00064590n bn:00019848n
if coffee be sell at the cafeteria let a_few worker in each department get it for the whole group,if bn:00020414n be bn:00093472v at the bn:00014561n bn:00082536v bn:00096109a bn:00081593n in each bn:00026308n bn:00084061v it for the bn:00113852a bn:00041942n
consider install supplemental serve line in production area,bn:00085649v bn:00089785v bn:00097844a bn:00089309v bn:00051290n in bn:00064590n bn:00005517n
make sure milk for the coffee be place in dispenser rather than in container if you be supply the coffee,bn:00088736v bn:00099480a bn:00054996n for the bn:00020414n be bn:00090224v in bn:00027656n bn:00115972r than in bn:00022129n if you be bn:00088643v the bn:00020414n
otherwise you may be saddle with a good size milk bill by milk drinker,otherwise you may be bn:00093225v with a bn:00103395a bn:00110703a bn:00054996n bn:00000746n by bn:00054996n bn:00028751n
keep the retirement age flexible so skilled craftsman such as tool and die maker can be keep on_the_job for the convenience of the company,bn:00089384v the bn:00067456n bn:00001936n bn:00103097a bn:00117044r bn:00110711a bn:00006157n such as bn:00077585n and bn:00026986n bn:00052910n can be bn:00089384v bn:00107839a for the bn:00022324n of the bn:00021286n
and so deadhead on the payroll can be ease out at the earliest possible age,and bn:00117044r bn:00025535n on the bn:00061125n can be bn:00087456v out at the bn:00115152r bn:00108829a bn:00001936n
make sure you have minimum age and time on_the_job requirement tie into you pension plan,bn:00088736v bn:00099480a you bn:00088078v bn:00106755a bn:00001936n and bn:00077268n bn:00107839a bn:00026105n bn:00085623v into you bn:00061406n bn:00062759n
young men usually do not think_of pension as a important job benefit factor anyhow and they be liable to change job several time before settle_down,bn:00104589a bn:00042833n bn:00114778r do not bn:00087737v bn:00061406n as a bn:00104680a bn:00014138n bn:00009904n bn:00021394n bn:00114304r and they bn:00083181v bn:00097408a to bn:00084770v bn:00014138n bn:00110470a bn:00019848n before bn:00093113v
choose carefully between contributory or non contributory pension plan,bn:00084931v bn:00114671r between bn:00100218a or non bn:00100218a bn:00061406n bn:00062759n
there be two side of a coin for this decision,there bn:00083184v bn:00095950a bn:00032604n of a bn:00020497n for this bn:00021590n
worker usually think_of more of a plan they contribute to,bn:00081593n bn:00114778r bn:00087737v bn:00116285r of a bn:00062759n they bn:00084904v to
and they can at_least collect the money they put_in plus interest when they leave the company,and they can bn:00114406r bn:00085288v the bn:00055644n they bn:00089368v plus bn:00047080n when they bn:00086604v the bn:00021286n
a non contributory plan usually win not pay_off for the worker until he retire,a non bn:00100218a bn:00062759n bn:00114778r win not bn:00091501v for the bn:00081593n until he bn:00092940v
thus there be a add incentive to stay on_the_job,bn:00115635r there bn:00083184v a add bn:00046272n to bn:00092756v bn:00107839a
make sure you do not pay for holiday that occur when a employee would not otherwise be work,bn:00088736v bn:00099480a you do not bn:00091493v for bn:00044415n that occur when a bn:00030618n would bn:00116360r bn:00116477r be bn:00095812v
these include,these bn:00089660v
leave_of_absence illness and layoff,bn:00050462n bn:00045952n and bn:00050314n
consider adopt a system of holiday in which time_off be grant with a eye to minimum inconvenience to the operation of the plant,bn:00085649v bn:00082379v a bn:00069580n of bn:00044415n in which bn:00077295n be bn:00082228v with a bn:00032513n to bn:00106755a inconvenience to the bn:00059125n of the bn:00046568n
it be usually not too hard to sell worker on this as it give they longer holiday period,it be bn:00114778r bn:00116360r bn:00115274r bn:00101358a to bn:00093474v bn:00081593n on this as it bn:00088814v they bn:00116156r bn:00044415n bn:00061605n
for_example the friday after thanksgiving can be substitute for washington 's birthday,bn:00115147r the bn:00036512n after bn:00076770n can be bn:00087802v for bn:00040239n 's bn:00010678n
this reduce the number of expensive plant shutdown and startup,this bn:00084079v the bn:00034394n of bn:00102576a bn:00046568n bn:00019944n and bn:00074002n
require each employee to work he last shift both before and after the holiday to be eligible for pay,bn:00085401v each bn:00030618n to bn:00095812v he bn:00105740a bn:00029242n both before and after the bn:00044415n to bn:00083181v bn:00102123a for bn:00029416n
this cut the absentee_rate,this bn:00084079v the bn:00000434n
consider use vending_machine rather than subsidize cafeteria,bn:00085649v bn:00082705v bn:00079724n bn:00115972r than bn:00094551v bn:00014561n
latest model serve hot meal at reasonable price and at a profit to you,latest bn:00055446n bn:00089309v bn:00104348a bn:00053993n at bn:00102720a bn:00022996n and at a bn:00037022n to you
if a concessionaire run the cafeteria keep_an_eye_on a eye out for quality and price,if a bn:00021572n bn:00091177v the bn:00014561n bn:00088428v a eye out for bn:00014731n and bn:00022996n
if the soup taste like dishwater you employee win not blame the concessionaire,if the bn:00072921n bn:00093282v like bn:00027594n you bn:00030618n win not bn:00083545v the bn:00021572n
you 'll take the rap,you 'll bn:00094538v the bn:00011096n
check you cafeteria location to make sure it be convenient for most employee,bn:00084848v you bn:00014561n bn:00051760n to bn:00088736v bn:00099480a it bn:00083181v convenient for bn:00106953a bn:00030618n
you may save valuable production minute with a change,you may bn:00091983v bn:00113490a bn:00064590n bn:00055094n with a bn:00003125n
spread you vacation period over the wide possible span of time or shut_down the plant down for two_weeks,bn:00087063v you bn:00044415n bn:00061605n over the bn:00098887a bn:00108829a bn:00073083n of bn:00077270n or bn:00085164v the bn:00046568n down for bn:00035996n
this will cut the expense of vacation replacement,this will bn:00084079v the bn:00027451n of bn:00044415n bn:00003129n
and with the shutdown method there will be no argument as to who get the choice vacation date,and with the bn:00019944n bn:00054625n there will bn:00083185v no bn:00005599n as to who bn:00088208v the bn:00099634a bn:00044415n bn:00025336n
also make sure you have reasonable requirement as to hours work before a production employee be entitled to a vacation,bn:00114246r bn:00088736v bn:00099480a you bn:00088078v bn:00102720a bn:00026105n as to bn:00044991n bn:00087128v before a bn:00064590n bn:00030618n bn:00083181v bn:00102281a to a bn:00044415n
you might try provide standard vacation time_off but make the vacation pay depend_on the number of hours work in the previous year,you might bn:00087731v bn:00088643v bn:00111129a bn:00044415n bn:00077295n but bn:00088736v the bn:00044415n bn:00029416n bn:00086607v the bn:00034394n of bn:00044991n bn:00087128v in the bn:00107791a bn:00078738n
`` through a door conveniently unlocked `` person supplement,`` through a bn:00028247n bn:00114848r bn:00112365a `` bn:00046516n bn:00094607v
`` that damn door `` say the police_chief,`` that bn:00100889a bn:00028247n `` bn:00093287v the bn:00015751n
`` a gift_horse to be view with suspicion ``,`` a bn:00040438n to be bn:00085647v with bn:00027813n ``
person 's dark face wear a meditative look,bn:00046516n 's bn:00100904a bn:00032600n bn:00095686v a bn:00098939a bn:00006386n
`` if there be collusion between a outside murderer and a member of the household it would be a elementary precaution to check on the door later,`` if there bn:00083184v bn:00020688n between a bn:00102625a bn:00051488n and a bn:00034004n of the bn:00032892n it would bn:00083182v a bn:00102111a bn:00042049n to bn:00084848v on the bn:00028247n bn:00114165r
and it make a very poor red_herring for a inside_job,and it bn:00088736v a bn:00116789r poor bn:00066671n for a bn:00046895n
much better to break a cellar window ``,bn:00116295r bn:00098282a to bn:00083902v a bn:00008824n bn:00081285n ``
`` do not forget there be the hope it would pass for a natural death `` person remind he,`` do not bn:00083552v there bn:00083184v the bn:00044738n it would bn:00085080v for a bn:00107151a bn:00025583n `` bn:00046516n bn:00086137v he
`` well with a house as big as that there must be at_least one cellar window that would not be notice right_away unless there be a police_investigation ``,`` well with a bn:00044994n as bn:00098342a as that there must bn:00083184v bn:00114406r bn:00058969n bn:00008824n bn:00081285n that would not be bn:00086708v bn:00114422r unless there be a bn:00063323n ``
`` yeah,`` yeah
and a pane_of_glass be not hard to ``,and a bn:00060375n bn:00083181v not bn:00101358a to ``
the telephone interrupt he,the bn:00062020n bn:00083995v he
he scoop_up the receiver and say `` police_chief `` into the mouthpiece and then `` oh yes person,he bn:00090351v the bn:00066494n and bn:00093287v `` bn:00015751n `` into the bn:00056148n and bn:00114281r `` oh yes bn:00046516n
i be hope i would hear from you today ``,i be bn:00089472v i would bn:00089279v from you bn:00117315r ``
with he free hand he pull a pad and pencil toward he and begin to make note as he listen say `` uh-huh `` and `` i see `` at interval,with he bn:00103299a bn:00042759n he bn:00092138v a bn:00060130n and bn:00061334n toward he and bn:00083340v to bn:00086008v bn:00058145n as he bn:00090400v bn:00093287v `` uh-huh `` and `` i bn:00092443v `` at bn:00047229n
at_last he say `` well thank_you for call person,bn:00114417r he bn:00093287v `` well bn:00076767n for bn:00084387v bn:00046516n
although there be no doubt in my mind and we have be handle it as one i be glad to have it make official ``,although there bn:00083184v bn:00107314a bn:00028425n in my bn:00012681n and we have be bn:00084527v it as one i bn:00083181v bn:00103601a to have it bn:00090555v bn:00107772a ``
he hang_up,he bn:00089196v
`` coroner `` he say to person,`` bn:00022801n `` he bn:00093287v to bn:00046516n
`` he be just hear from the pathologist who say person apparently die from suffocation ``,`` he be bn:00116052r bn:00089279v from the bn:00026809n who bn:00082527v bn:00046516n bn:00114318r bn:00084343v from bn:00006417n ``
person look at he note,bn:00046516n bn:00090448v at he bn:00058145n
`` many minute hemorrhage in the lung particle of lint and thread in the mouth and nostril,`` bn:00106408a bn:00105067a bn:00011193n in the bn:00052341n bn:00006815n of bn:00051423n and bn:00077028n in the bn:00056135n and nostril
scraping from the bed_linen identical with the lint and thread find in the nasal_cavity and oral_cavity,bn:00069824n from the bn:00009488n bn:00104505a with the bn:00051423n and bn:00077028n bn:00086708v in the bn:00056883n and bn:00056135n
no other cause of death apparent,no bn:00108011a bn:00016845n of bn:00025583n bn:00097350a
trachea clear of mucus and foreign object,bn:00077824n bn:00099804a of bn:00056200n and bn:00102647a bn:00058442n
brain examine for thrombosis clot or hemorrhage,bn:00012679n bn:00087787v for bn:00077084n bn:00019978n or bn:00011193n
no sign of these no gross hemorrhage of lung heart brain or stomach ``,no bn:00071527n of these no gross bn:00011193n of bn:00052341n bn:00043383n bn:00012679n or bn:00012886n ``
he pause,he bn:00083943v
`` that be about it,`` that be about it
